Item description,English translation,Qty,Price (€),Item total (€),Link,Price ($),Item total ($)
Μετατροπέας DC-DC Step-Up 5-28V 2A - MT3608,DC-DC Step-Up Converter 5-28V 2A - MT3608,1.0,1.6,1.6,https://grobotronics.com/dc-dc-converter-step-up-5-28v-2a-mt3608.html,1.87,1.87
Μετατροπέας DC-DC Step-Up 1.25-35V 3A - XL6009,DC-DC Step-Up Converter 1.25-35V 3A - XL6009,1.0,3.8,3.8,https://grobotronics.com/dc-dc-converter-step-up-1.25-35v-3a.html,4.45,4.45
Diode Rectifier - 1A 1000V 1N4007,Rectifier Diode - 1A 1000V 1N4007,5.0,0.04,0.2,https://grobotronics.com/diode-rectifier-1a-1000v-1n4007.html,0.05,0.23
ESP32 Development Board - ESP32-C6-DevKitC-1-N8 - 8MB SPI Flash,ESP32-C6-DevKitC-1 Development Board - 8MB SPI Flash,1.0,16.8,16.8,https://grobotronics.com/esp32-development-board-esp32-c6-devkitc-1-n8-8mb-spi-flash.html,19.66,19.66
Lock-style Solenoid - 12VDC,Lock-style Solenoid - 12VDC,1.0,9.9,9.9,https://grobotronics.com/lock-style-solenoid-12vdc.html,11.58,11.58
Mosfet IRLB8743P N-Channel 150A,IRLB8743P N-Channel 150A MOSFET,1.0,1.4,1.4,https://grobotronics.com/mosfet-irlb8743p-n-channel-150a-30v.html,1.64,1.64
Ribbon 40wire 20cm - Female to Female (2 - 2mm),40-wire Ribbon Cable 20cm - Female to Female (2 - 2mm),1.0,1.9,1.9,https://grobotronics.com/ribbon-40wire-20cm-female-to-female-2-2mm.html,2.22,2.22
Κιτ Ένθετων με Σπείρωμα M3 - 150τμχ,M3 Threaded Insert Assortment Kit - 150pcs,1.0,9.9,9.9,https://grobotronics.com/threaded-insert-assortment-kit-m3-150pcs.html,11.58,11.58
Κόλληση Brofil 60 16g 1mm,Brofil 60 Solder Wire 16g 1mm,1.0,2.4,2.4,https://grobotronics.com/soldering-wire-brofil-60-16g-1mm.html,2.81,2.81
Μπαταρία Li-Po 3.7V 2000mAh Molex 2.5mm,Li-Po Battery 3.7V 2000mAh Molex 2.5mm,1.0,9.9,9.9,https://grobotronics.com/li-po-battery-3-7v-2000mah-molex-2-5mm.html,11.58,11.58
Πλακέτα Διάτρητη 70x90mm,Perforated Prototype Board 70x90mm,1.0,1.5,1.5,https://grobotronics.com/70x90mm.html,1.76,1.76
TOTAL,TOTAL,15.0,59.14,59.3,,69.20000000000002,69.38000000000001
